#  denom_clamp  min_flux clamp_flux
       6.0       10.0    -1000.0
# Minimum flux for tiptilt servo
       0.0
 # subapID  centroidx  centroidy     pixelx     pixely
         0      59.50      49.33         60         49
         1      53.73      59.17         54         59
         2      42.33      59.08         42         59
         3      36.56      49.11         37         49
         4      42.39      39.03         42         39
         5      54.06      39.42         54         39
         6      70.42      49.50         70         50
         7      59.21      68.66         59         69
         8      37.18      68.13         37         68
         9      25.73      48.90         26         49
        10      36.79      29.27         37         29
        11      59.40      29.98         59         30
        12      64.77      59.01         65         59
        13      48.11      68.57         48         69
        14      31.45      58.74         31         59
        15      31.40      39.09         31         39
        16      48.19      29.67         48         30
        17      65.15      39.74         65         40
        18      80.88      49.57         81         50
        19      64.26      77.48         64         77
        20      31.84      76.73         32         77
        21      15.52      48.73         16         49
        22      31.61      20.32         32         20
        23      64.70      20.80         65         21
        24      75.59      59.02         76         59
        25      53.44      77.62         53         78
        26      26.29      67.78         26         68
        27      20.56      38.95         21         39
        28      42.47      20.30         42         20
        29      70.55      30.49         71         30
        30      69.99      68.55         70         69
        31      42.63      77.36         43         77
        32      20.61      58.17         21         58
        33      26.10      29.29         26         29
        34      53.72      20.56         54         21
        35      75.95      39.85         76         40
